;Column Labels;;;;;;;;;;;;
Row Labels;A;B;C;D;E;F;G;H;I;J;K;L;Grand Total
113;1;0;0;4;0;2;1;0;2;0;1;0;11
114;1;0;0;1;0;1;0;0;0;0;0;0;3
115;0;0;0;0;0;1;0;1;1;0;1;0;4
116;0;2;0;0;0;1;0;0;1;0;0;0;4
117;0;0;0;2;0;2;0;1;2;0;0;0;7
118;0;0;0;3;0;1;0;1;3;0;0;0;8
119;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;2;0;1;0;1;1;0;0;0;5
121;2;0;1;2;0;0;0;0;0;0;0;0;5
122;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;2;0;0;0;5;0;1;0;0;0;0;8
124;0;1;0;2;0;1;1;0;2;0;0;0;7
125;0;0;0;2;0;1;0;0;1;0;0;0;4
126;1;0;0;3;0;0;0;0;2;0;0;0;6
127;0;0;0;2;0;0;1;0;1;0;0;0;4
128;0;2;0;0;0;1;0;0;1;0;0;0;4
129;0;0;0;2;0;0;2;0;0;0;0;0;4
130;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;5;0;13;0;11;0;0;0;0;29
132;0;0;0;1;0;0;0;0;1;0;0;0;2
133;0;0;0;0;0;0;0;0;0;0;0;0;0
134;0;0;0;2;0;0;1;0;1;0;0;0;4
135;0;0;0;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0
137;2;0;3;2;0;0;0;1;0;0;0;0;8
138;0;6;0;3;0;8;4;0;0;0;0;0;21
139;0;0;0;0;0;0;0;0;0;0;0;0;0
140;0;1;0;0;0;0;0;0;1;0;1;0;3
141;0;0;0;1;0;0;0;0;1;0;0;0;2
142;0;0;0;0;0;0;0;0;0;0;0;0;0
143;0;0;0;0;0;1;1;0;0;0;0;0;2
144;0;0;0;0;0;0;0;0;0;0;0;0;0
145;0;0;0;0;0;1;1;0;0;0;0;0;2
146;0;0;0;0;0;0;0;0;0;0;0;0;0
147;0;0;0;2;0;1;0;0;1;0;0;0;4
148;0;2;0;1;0;0;0;0;3;0;0;0;6
149;0;0;0;0;0;0;0;0;0;0;0;0;0
150;0;0;0;1;0;1;0;0;0;0;0;0;2
151;0;0;0;0;0;0;0;0;0;0;0;0;0
152;0;0;0;3;0;2;0;0;1;0;0;0;6
153;0;2;0;0;0;1;0;0;1;0;0;0;4
154;0;0;0;0;0;0;0;0;0;0;0;0;0
155;0;0;0;1;0;2;1;0;0;0;0;0;4
156;0;0;0;0;0;0;0;0;0;0;0;0;0
157;0;0;0;0;0;0;0;0;0;0;0;0;0
